我,r,代詞,per
起來,v,動詞,x
了,y,語氣詞,x
,,,
我,r,代詞,per
起來,v,動詞,x
了,y,語氣詞,x
,,,
天亮,v,動詞,x
了,y,語氣詞,x
，,w,標點符號,x
我,r,代詞,per
起來,v,動詞,x
了,y,語氣詞,x
，,w,標點符號,x
太陽,n,名詞,per
也,d,副詞,x
起來,v,動詞,x
了,y,語氣詞,x
。,w,標點符號,x
,,,
天亮,v,動詞,x
了,y,語氣詞,x
，,w,標點符號,x
我,r,代詞,per
起來,v,動詞,x
了,y,語氣詞,x
，,w,標點符號,x
我,r,代詞,per
天天,q,量詞,time
早起,v,動詞,x
，,w,標點符號,x
太陽,n,名詞,per
也,d,副詞,x
天天,q,量詞,time
早起,v,動詞,x
。,w,標點符號,x
,,,
爸爸,n,名詞,per
說,v,動詞,x
，,w,標點符號,x
他,r,代詞,per
小時候,t,時間詞,time
上學,v,動詞,x
，,w,標點符號,x
看見,v,動詞,x
老師,n,名詞,per
，,w,標點符號,x
會,v,動詞,x
向,p,介詞,x
老師,n,名詞,per
行禮,v,動詞,x
，,w,標點符號,x
說,v,動詞,x
：,w,標點符號,x
「,w,標點符號,x
老師,n,名詞,per
好,a,形容詞,x
！,w,標點符號,x
」,w,標點符號,x
,,,
現在,t,時間詞,time
，,w,標點符號,x
我,r,代詞,per
在,p,介詞,x
泰國,ns,地名,place
上學,v,動詞,x
，,w,標點符號,x
我,r,代詞,per
看見,v,動詞,x
老師,n,名詞,per
，,w,標點符號,x
我,r,代詞,per
會,v,動詞,x
雙手,n,名詞,x
合,v,動詞,x
掌,n,名詞,x
，,w,標點符號,x
向,p,介詞,x
老師,n,名詞,per
行禮,v,動詞,x
，,w,標點符號,x
說,v,動詞,x
：,w,標點符號,x
「,w,標點符號,x
老師,n,名詞,per
好,a,形容詞,x
！,w,標點符號,x
」,w,標點符號,x
,,,
背,v,動詞,x
書包,n,名詞,obj
，,w,標點符號,x
上學,v,動詞,x
去,v,動詞,x
。,w,標點符號,x
,,,
我,r,代詞,per
的,u,助詞,x
書包,n,名詞,obj
裡,f,方位詞,x
，,w,標點符號,x
有,vyou,有,x
書,n,名詞,obj
也,d,副詞,x
有,vyou,有,x
筆,n,名詞,obj
。,w,標點符號,x
,,,
我,r,代詞,per
有,vyou,有,x
四,m,數詞,x
本,q,量詞,x
書,n,名詞,obj
，,w,標點符號,x
我,r,代詞,per
有,vyou,有,x
三,m,數詞,x
枝,q,量詞,x
筆,n,名詞,obj
，,w,標點符號,x
還有,v,動詞,x
一個,m,數詞,x
小,a,形容詞,x
皮球,n,名詞,obj
，,w,標點符號,x
也,d,副詞,x
