我,r,per
起來,v,x
了,y,x
,,
我,r,per
起來,v,x
了,y,x
,,
天亮,v,x
了,y,x
，,w,x
我,r,per
起來,v,x
了,y,x
，,w,x
太陽,n,per
也,d,x
起來,v,x
了,y,x
。,w,x
,,
天亮,v,x
了,y,x
，,w,x
我,r,per
起來,v,x
了,y,x
，,w,x
我,r,per
天天,q,time
早起,v,x
，,w,x
太陽,n,per
也,d,x
天天,q,time
早起,v,x
。,w,x
,,
爸爸,n,per
說,v,x
，,w,x
他,r,per
小時候,t,time
上學,v,x
，,w,x
看見,v,x
老師,n,per
，,w,x
會,v,x
向,p,x
老師,n,per
行禮,v,x
，,w,x
說,v,x
：,w,x
「,w,x
老師,n,per
好,a,x
！,w,x
」,w,x
,,
現在,t,time
，,w,x
我,r,per
在,p,x
泰國,ns,place
上學,v,x
，,w,x
我,r,per
看見,v,x
老師,n,per
，,w,x
我,r,per
會,v,x
雙手,n,x
合,v,x
掌,n,x
，,w,x
向,p,x
老師,n,per
行禮,v,x
，,w,x
說,v,x
：,w,x
「,w,x
老師,n,per
好,a,x
！,w,x
」,w,x
,,
背,v,x
書包,n,obj
，,w,x
上學,v,x
去,v,x
。,w,x
,,
我,r,per
的,u,x
書包,n,obj
裡,f,x
，,w,x
有,vyou,x
書,n,obj
也,d,x
有,vyou,x
筆,n,obj
。,w,x
,,
我,r,per
有,vyou,x
四,m,x
本,q,x
書,n,obj
，,w,x
我,r,per
有,vyou,x
三,m,x
枝,q,x
筆,n,obj
，,w,x
還有,v,x
一個,m,x
小,a,x
皮球,n,obj
，,w,x
也,d,x
在,p,x
我,r,per
的,u,x
書包,n,obj
裡,f,x
。,w,x
,,
小,a,x
狗,n,per
，,w,x
小,a,x
狗,n,per
跟,p,x
我,r,per
來,v,x
，,w,x
我們,r,per
比一比,v,x
，,w,x
看,v,x
誰,r,x
跑,v,x
得,u,x
快,a,x
？,w,x
,,
小,a,x
狗,n,per
，,w,x
小,a,x
狗,n,per
跟,p,x
我,r,per
來,v,x
，,w,x
我,r,per
踢球,v,x
，,w,x
你,r,per
去,v,x
追,v,x
。,w,x
,,
我,r,per
踢,v,x
到,v,x
哪裡,r,x
，,w,x
你,r,per
追,v,x
到,v,x
哪裡,r,x
。,w,x
,,
看,v,x
我,r,per
踢,v,x
得,u,x
遠,a,x
不,d,x
遠,a,x
？,w,x
,,
看,v,x
你,r,per
跑,v,x
得,u,x
快,a,x
不,d,x
快,a,x
？,w,x
,,
小方,nr,per
喜歡,v,x
上學,v,x
，,w,x
他,r,per
看到,v,x
老師,n,per
說,v,x
：,w,x
「,w,x
老師,n,per
好,a,x
！,w,x
」,w,x
,,
他,r,per
看到,v,x
同學,n,per
說,v,x
：,w,x
「,w,x
同學,n,per
好,a,x
！,w,x
」,w,x
,,
小方,nr,per
喜歡,v,x
老師,n,per
，,w,x
老師,n,per
也,d,x
喜歡,v,x
小方,nr,per
。,w,x
,,
小方,nr,per
喜歡,v,x
同學,n,per
